ONS code,Council Area,Large urban,Other urban,Accessible small towns,Remote small towns,Accessible rural,Remote rural,,,
S12000033,Aberdeen City,93.1,0,5.3,0,1.5,0,,,
S12000034,Aberdeenshire,0,30.3,11.9,7,37.1,13.7,,,
S12000041,Angus,7.6,53.6,11.8,0,25.4,1.5,,,
S12000035,Argyll & Bute,0,17.9,0,31.6,7,43.5,,,
S12000005,Clackmannanshire,0,39.8,46.2,0,14,0,,,
S12000006,Dumfries & Galloway,0,29,17.5,7.6,26.2,19.6,,,
S12000042,Dundee City,99.5,0,0,0,0.5,0,,,
S12000008,East Ayrshire,0,41.7,21.8,7.3,21.1,8.1,,,
S12000045,East Dunbartonshire,60.3,26.6,7.6,0,5.5,0,,,
S12000010,East Lothian,23.4,11.7,24,15,23.1,2.8,,,
S12000011,East Renfrewshire,87.2,0,9.3,0,3.5,0,,,
S12000036,"Edinburgh, City of",96.3,0,2.6,0,1.1,0,,,
S12000014,Eilean Siar,0,0,0,27,0,73,,,
S12000047,Falkirk,0,89.6,2,0,8.3,0,,,
S12000049,Fife,0,64.3,17.3,0,18.4,0,,,
S12000017,Glasgow City,99.6,0,0,0,0.4,0,,,
S12000018,Highland,0,30.2,4.2,15.9,11.7,37.9,,,
S12000019,Inverclyde,0,86.1,11.9,0,2,0,,,
S12000020,Midlothian,0,69.2,15.1,0,15.8,0,,,
S12000013,Moray,0,24.7,18.9,14.2,28.8,13.4,,,
S12000021,North Ayrshire,0,71.3,18.9,0,5.4,4.4,,,
S12000050,North Lanarkshire,1.8,78.8,11.5,0,8,0,,,
S12000023,Orkney Islands,0,0,0,33.2,0,66.8,,,
S12000048,Perth & Kinross,1.2,31.9,9.8,11.1,32.6,13.4,,,
S12000038,Renfrewshire,76,10,9.1,0,4.8,0,,,
S12000026,Scottish Borders,0,25.3,21.6,5.9,35.6,11.5,,,
S12000027,Shetland Islands,0,0,0,30.3,0,69.7,,,
S12000028,South Ayrshire,0,68.7,4.2,5.9,17.2,4,,,
S12000029,South Lanarkshire,18.7,59.6,10.7,0,9.1,1.8,,,
S12000030,Stirling,0,53.3,13.1,0,28.7,4.9,,,
S12000039,West Dunbartonshire,48.8,49.9,0,0,1.2,0,,,
S12000040,West Lothian,0,78.8,11.1,0,10.1,0,,,